user,date,text,location,coordinates,filename
pegasusepsilon,Wed Aug 11 02:15:58 +0000 2021,"@xeplusplus @BeachcomberNC @petemuntean @Phil_Lewis_ American Airlines $5.8 billion
Delta airlines $5.4 billion
Sou… https://t.co/bd1jPFAeRu",The Internet,,2021-08-19 23:36:16.313209_combined.csv
RashidaDesigner,Wed Aug 11 02:15:26 +0000 2021,Finally a competitive difference between airlines besides price and convenience. I have to fly to Austin this Septe… https://t.co/Xfu2ck2Mjq,"Brooklyn, NY",,2021-08-19 23:36:16.313209_combined.csv
TheReal_Hurl,Wed Aug 11 02:15:24 +0000 2021,"RT @6ft7300: BREAKING! 🚨🚨🚨 Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinated, breakin…",,,2021-08-19 23:36:16.313209_combined.csv
mychicas3,Wed Aug 11 02:15:15 +0000 2021,RT @JReinerMD: I’ll fly with the airline that puts passenger safety first. At this point in the pandemic that appears to be United Airlines.,"Des Moines, IA",,2021-08-19 23:36:16.313209_combined.csv
10TV,Wed Aug 11 02:15:09 +0000 2021,United Airlines requiring all US employees to get COVID vaccine https://t.co/tcvlJPlQbP,"Columbus, Ohio, USA",,2021-08-19 23:36:16.313209_combined.csv
Joe95468177,Wed Aug 11 02:15:08 +0000 2021,@CNN I will strictly fly United Airlines from now on!,,,2021-08-19 23:36:16.313209_combined.csv
MeowSiamese,Wed Aug 11 02:15:07 +0000 2021,@neal_katyal @united I'm sure other airlines will follow suit in a week or two. Just wait for it.,Blue dot in the flyover state.,,2021-08-19 23:36:16.313209_combined.csv
mcleod,Wed Aug 11 02:15:01 +0000 2021,RT @JReinerMD: I’ll fly with the airline that puts passenger safety first. At this point in the pandemic that appears to be United Airlines…,"Lafayette, CO",,2021-08-19 23:36:16.313209_combined.csv
_RyanIndustries,Wed Aug 11 02:14:54 +0000 2021,"RT @Steve35758: ALERT: Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinated, breaking wi…","63° 2' N, 29° 55' W",,2021-08-19 23:36:16.313209_combined.csv
theodoretedwebb,Wed Aug 11 02:14:33 +0000 2021,"""The tipping point for me was seeing that 97 percent of the people in the hospital are unvaccinated and over 99 per… https://t.co/Iw6kUReotW",West Virginia,,2021-08-19 23:36:16.313209_combined.csv
sarahneighbor3,Wed Aug 11 02:14:26 +0000 2021,RT @barrybutler9: The view leaving Portland as I’m on my way back to Chicago via United Airlines.  Shot with my iPhone. #oregon https://t.c…,"Washington, USA",,2021-08-19 23:36:16.313209_combined.csv
PessimistAdjac1,Wed Aug 11 02:14:13 +0000 2021,@petemuntean See👀No airline relief needed. They can start selling planes to United Airlines. Capitalism🤑,,,2021-08-19 23:36:16.313209_combined.csv
laxradar,Wed Aug 11 02:14:07 +0000 2021,"United Airlines flight #UAL1831 spotted at 4,050 feet! https://t.co/CwGAfCGjML","Los Angeles, CA",,2021-08-19 23:36:16.313209_combined.csv
CaseyAl23256968,Wed Aug 11 02:14:01 +0000 2021,"RT @HighWireTalk: The airlines will not follow the likes of United Airlines, which became the first airline to mandate all workers to get v…",,,2021-08-19 23:36:16.313209_combined.csv
RaleighBowman,Wed Aug 11 02:18:36 +0000 2021,"All airlines should require employees working to be vaccinated. As someone who has worked in the airline industry,… https://t.co/0yHhXikjXa","Chicago, IL ",,2021-08-19 23:36:16.313209_combined.csv
ViewFromWise,Wed Aug 11 03:04:40 +0000 2021,"RT @MelissaJPeltier: Well, that means I’m flying United, Jet Blue, &amp; select foreign airlines with a vaccine mandate. https://t.co/WSn0hWEroe","Dunwoody, GA",,2021-08-19 23:36:16.313209_combined.csv
LCuriious,Wed Aug 11 03:04:33 +0000 2021,"RT @tevan2864: Gov Cuomo Resigns
Gov. Abbot scores a victory with Texas Supreme Court
SW, American and United airlines will not require emp…",,,2021-08-19 23:36:16.313209_combined.csv
kiki06579912,Wed Aug 11 03:04:17 +0000 2021,"RT @hourlynathan05: United Airlines Ad

📸: YukiSNYC

#NathanChen #FigureSkating https://t.co/d4J9TjK5sb",,,2021-08-19 23:36:16.313209_combined.csv
asthegirlturns,Wed Aug 11 03:04:16 +0000 2021,"After United Airlines Issues its Vaccine Mandate, Delta, Southwest, and American Airlines Allow Employees to Remain… https://t.co/S7aDeWzhq2","California, USA",,2021-08-19 23:36:16.313209_combined.csv
jamesvenes,Wed Aug 11 03:04:11 +0000 2021,@davidaguilar92 @beychok @ASlavitt @SouthwestAir @united Fair point. I just don't think airlines requiring vaccinat… https://t.co/4PEBdxAkUm,,,2021-08-19 23:36:16.313209_combined.csv
redfuturenews,Wed Aug 11 03:03:57 +0000 2021,"🚨🚨🚨 BREAKING 🚨🚨🚨
Delta, Southwest, and American Airlines will not mandate Covid Vaccinations for employees. United… https://t.co/QA8TzRgBJx",United States,,2021-08-19 23:36:16.313209_combined.csv
Mondiablue,Wed Aug 11 03:03:29 +0000 2021,"RT @USRealityCheck: United Airlines has joined a growing list of companies enacting vaccine mandates, but other US carriers are not on boar…",🏴‍☠️🏖🤠  cashapp $mondiablue,,2021-08-19 23:36:16.313209_combined.csv
Br0cnessM0nster,Wed Aug 11 03:03:19 +0000 2021,@TSSinPDX @petemuntean @lauferlaw You’ll be surprised to learn that the majority (sane people on both sides) don’t… https://t.co/kLCnsBpwkr,Portland ,,2021-08-19 23:36:16.313209_combined.csv
HumanRe41270855,Wed Aug 11 03:03:07 +0000 2021,RT @BreakoutAsia: It’s a tough call to make for any #organization to mandate vaccinations in the #workplace. Organizations are now taking a…,"Berlin, Germany",,2021-08-19 23:36:16.313209_combined.csv
